id,win,item1,item2,item3,item4,item5,item6,trinket,kills,deaths,assists,largestkillingspree,largestmultikill,killingsprees,longesttimespentliving,doublekills,triplekills,quadrakills,pentakills,legendarykills,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,largestcrit,totdmgtochamp,magicdmgtochamp,physdmgtochamp,truedmgtochamp,totheal,totunitshealed,dmgselfmit,dmgtoobj,dmgtoturrets,visionscore,timecc,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,goldearned,goldspent,turretkills,inhibkills,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills,totcctimedealt,champlvl,pinksbought,wardsbought,wardsplaced,wardskilled,firstblood
9,0,3748,2003,3111,3053,1419,1042,3340,6,10,1,2,2,2,643,2,0,0,0,0,96980,25154,65433,6392,0,9101,3975,4237,888,15160,1,23998,1826,1170,14,0,41446,13270,24957,3218,10497,10275,0,0,42,69,42,27,610,13,0,0,10,0,0
10,0,2301,3111,3190,3107,0,0,3364,0,2,12,0,0,0,1116,0,0,0,0,0,25995,17633,6295,2066,0,8478,6684,977,816,11707,5,9402,1943,1852,30,0,17769,7945,7688,2136,9496,7975,1,0,17,1,1,0,211,14,1,0,17,3,0
11,0,1055,3072,3006,3031,3046,1036,3340,7,8,5,5,2,1,584,2,0,0,0,0,171568,1725,169576,266,1042,14425,331,14070,24,2283,2,16612,5094,2128,26,0,25627,12538,11094,1993,13136,11775,0,0,205,3,1,2,182,14,1,0,13,5,0
12,0,1029,3078,3156,1001,3053,0,3340,5,11,2,2,1,1,300,0,0,0,0,0,113721,989,109563,3168,455,15267,296,11802,3168,4252,1,27174,8263,8263,5,0,31705,10280,19506,1918,11006,10683,3,0,164,6,6,0,106,15,0,0,3,0,0
13,0,3020,1058,3198,3102,1052,1026,3340,2,8,2,0,1,0,504,0,0,0,0,0,185302,166671,16867,1763,0,18229,17925,28,275,1525,1,14616,3801,1724,15,0,20585,6850,11119,2615,11439,10485,1,0,235,4,3,1,159,15,0,0,10,0,0
14,1,1400,3111,3078,3742,1033,3067,3340,3,3,9,2,1,1,713,0,0,0,0,0,148791,29447,107327,12015,0,10587,1663,7591,1332,10333,1,28569,16739,1180,18,0,22708,5293,16952,462,11885,11758,1,0,28,111,81,30,808,16,0,0,8,2,0
15,1,3025,3193,3068,3047,1028,3082,3363,4,5,11,2,1,1,549,0,0,0,0,0,130692,118760,11580,351,0,15050,13396,1653,0,1401,1,44919,6156,3119,25,0,21719,2840,15798,3080,12192,11575,2,0,187,6,0,6,179,16,1,0,7,0,0
16,1,3135,3165,3089,3020,1058,3136,3340,13,4,8,4,2,4,775,1,0,0,0,0,145731,86725,22692,36313,0,28090,20981,1826,5282,4840,1,8269,19085,8160,12,0,19174,9771,8844,557,14940,13750,3,0,183,6,3,3,48,17,0,0,8,0,0
17,1,3046,3031,3006,3085,3072,1029,3340,15,3,9,12,1,2,290,0,0,0,0,0,182680,1735,173731,7213,843,30749,295,29703,750,2802,4,9815,20784,9993,12,0,17655,6801,10225,628,15970,14375,2,2,191,7,2,5,440,16,1,0,6,1,1
18,1,1058,2045,3092,3089,3113,3158,3364,4,5,19,4,1,1,226,0,0,0,0,0,85785,67341,7979,10464,0,20021,13732,1771,4517,3242,1,4389,3658,1126,71,0,13443,6639,6360,443,12978,11675,0,0,72,2,1,1,260,16,5,0,25,7,0
19,0,3092,2010,3158,1082,3165,0,3340,2,7,5,0,1,0,489,0,0,0,0,0,46790,41813,4515,462,0,9197,8037,1159,0,104,1,4264,477,477,26,0,11576,4721,6673,182,7792,6925,1,0,36,2,2,0,236,12,3,0,14,3,0
20,0,3040,3165,1056,1052,0,0,3340,2,8,6,0,1,0,338,0,0,0,0,0,62444,54560,7675,208,0,9339,8696,616,26,3003,2,6217,0,0,16,0,16571,7180,8902,488,8544,7210,0,0,128,10,10,0,980,12,1,0,10,2,0
21,0,1038,1037,3087,3006,1018,1042,3340,1,7,4,0,1,0,672,0,0,0,0,0,117896,25902,90755,1238,365,5909,1504,4031,372,494,1,11259,3070,3070,9,0,15955,4034,11448,472,9083,8100,0,0,114,49,25,24,203,13,1,0,7,1,1
22,0,3157,3158,3027,3100,1056,1058,3340,9,7,11,4,1,3,399,0,0,0,0,0,129156,117800,11355,0,0,16047,14050,1997,0,3165,1,7726,721,721,13,0,20763,9437,10227,1098,13299,11600,0,0,189,1,0,1,324,16,0,0,9,1,0
23,0,1402,3100,3041,3020,3089,3135,3340,19,3,8,9,2,2,1058,1,0,0,0,0,179252,134097,39536,5618,0,30236,21178,7374,1684,5072,1,12558,160,160,20,0,21945,6192,14818,934,15808,17445,0,0,120,70,36,34,564,17,0,0,12,1,0
24,1,3046,3031,3085,1053,3006,3133,3363,12,5,4,4,2,3,646,1,0,0,0,0,163342,404,159551,3386,1375,16767,306,15622,838,3549,2,8361,11722,3810,18,0,19326,11518,7445,362,13979,12425,2,1,185,24,15,9,362,15,1,0,6,1,0
25,1,1055,3071,3142,3111,3134,1037,3340,7,8,2,0,1,0,318,0,0,0,0,0,122919,3756,117645,1516,0,13073,1396,10778,898,2022,1,10911,7898,7898,25,0,19623,11907,7343,372,12122,9750,2,0,186,8,6,2,25,15,1,0,11,2,0
26,1,3165,3020,1026,3157,3285,1056,3363,5,7,4,3,1,1,502,0,0,0,0,0,146754,130209,15451,1094,0,13794,13392,323,78,709,1,5234,8532,8532,20,0,13999,7284,6239,474,12247,11850,5,0,199,3,3,0,419,15,2,0,11,1,0
27,1,3092,3165,1058,3020,1026,1052,3340,3,7,13,3,1,1,699,0,0,0,0,0,35766,31952,3502,311,0,9696,8407,1025,264,558,1,5067,1298,1298,24,0,15091,10654,4278,158,10368,9260,0,1,35,0,0,0,227,13,3,0,12,3,0
28,1,3748,3155,3133,0,1419,3111,3340,5,6,6,3,1,1,464,0,0,0,0,0,117790,27069,84572,6149,0,12571,6025,5449,1096,15524,1,20222,9574,3328,19,0,30605,14091,15798,716,10990,9775,0,1,43,61,40,21,333,14,0,0,10,1,0
29,0,1038,3006,1053,1036,1036,3031,3340,4,8,5,3,2,1,335,1,0,0,0,0,74879,140,74366,372,883,15856,140,15535,180,2278,3,9028,383,383,4,0,18032,5662,10697,1672,8731,7950,0,0,113,3,3,0,79,11,0,0,4,0,0
30,0,3117,3801,3504,2302,1029,0,3364,2,4,7,0,1,0,577,0,0,0,0,0,11242,8694,2310,238,0,2448,1347,1101,0,1938,6,7819,0,0,22,0,11722,4137,7029,556,6884,6225,0,0,10,0,0,0,132,11,0,0,13,1,0
31,0,1056,3113,0,3135,3165,3020,3340,9,8,5,3,1,3,386,0,0,0,0,0,66424,52891,12704,828,0,15268,12658,2412,197,0,0,8920,2799,2799,12,0,15943,6649,7529,1764,9066,8450,1,0,91,0,0,0,369,13,0,0,10,0,0
32,0,1401,2031,3047,3001,3024,0,3364,3,6,8,3,2,1,381,1,0,0,0,0,87826,64509,15471,7845,0,8656,6688,804,1163,5991,1,25312,0,0,13,0,23972,3897,18270,1803,8112,7750,0,0,25,71,55,16,195,13,1,0,8,1,0
33,0,3087,3153,3006,1055,0,0,3340,2,6,2,0,1,0,352,0,0,0,0,0,76085,2281,66013,7790,411,7263,587,5879,796,471,1,6421,962,962,11,0,15120,1123,13424,572,8049,7725,0,0,156,0,0,0,29,12,1,0,9,0,1
34,1,1026,3165,3020,3102,1058,1052,3340,13,5,3,6,3,3,451,3,1,0,0,0,93334,53752,14160,25422,0,20841,14494,2029,4317,1903,1,4867,8404,7104,13,0,13689,7463,5934,291,12174,9985,2,0,138,1,0,1,115,13,0,0,8,1,0
35,1,1400,3078,1033,3111,1036,0,3340,8,5,9,4,1,2,625,0,0,0,0,0,98220,2153,89888,6178,0,11454,683,9855,916,5344,1,14703,15260,3933,11,0,20103,5946,13354,803,10596,8458,1,0,6,69,41,28,602,13,0,0,6,0,0
36,1,1055,3031,1053,3085,3006,3086,3340,4,3,6,2,1,1,633,0,0,0,0,0,136987,589,136397,0,1211,18608,292,18315,0,504,1,6847,5929,5929,12,0,15078,2609,11713,755,11619,9850,2,1,205,8,6,2,44,14,0,0,6,1,0
37,1,2301,3047,3107,3105,1082,0,3341,0,1,16,0,0,0,908,0,0,0,0,0,26324,15832,10083,408,0,6710,4263,2287,158,4237,5,4854,2900,2900,34,0,9826,1556,8202,67,8552,7200,0,0,13,0,0,0,148,12,2,0,15,1,0
38,1,3006,3153,3085,1038,0,0,3363,7,6,7,3,1,1,475,0,0,0,0,0,81506,1326,76643,3537,335,11477,1034,9465,977,1841,3,5925,7880,7880,10,0,14282,4470,9391,420,10931,9000,1,1,137,9,9,0,228,12,0,0,6,2,0
39,0,3113,3135,3152,3157,3165,3020,3363,11,8,7,5,2,2,523,1,0,0,0,0,128787,109362,17943,1481,613,29817,25598,2901,1318,1855,1,8783,2763,2763,9,0,23520,12448,10438,633,14039,15275,2,0,184,9,7,2,56,16,1,0,9,1,0
40,0,1055,3031,3085,3006,3072,3026,3340,10,9,11,2,1,3,565,0,0,0,0,0,151221,1016,148390,1814,820,30235,504,28966,764,2886,4,14846,5423,3394,16,0,22460,4076,15689,2694,14329,13750,1,0,185,20,11,9,210,15,0,0,9,2,0
41,0,3153,1028,3077,3053,1419,3111,3340,6,11,10,2,1,1,425,0,0,0,0,0,147647,38802,92621,16222,0,23640,8956,12831,1853,21261,1,29356,28223,0,20,0,48907,13872,32261,2773,11986,11475,1,0,50,64,35,29,770,16,0,0,11,1,1
42,0,3742,1054,3111,3065,3068,3044,3340,5,5,6,4,1,1,674,0,0,0,0,0,143555,51549,91052,952,0,16369,3680,12434,254,1953,1,49664,2327,2327,9,0,28496,9065,17272,2159,12672,11600,1,0,193,19,4,15,2886,17,0,0,6,1,0
43,0,3142,0,1036,1036,3071,3047,3340,4,6,4,2,1,1,440,0,0,0,0,0,68190,3433,62226,2530,0,7712,737,6438,536,880,4,6349,1676,1676,12,0,11865,2880,8102,883,10605,8250,0,0,87,8,0,8,99,13,0,0,8,0,0
44,1,2031,3006,3087,3072,3031,1051,3363,5,9,8,2,1,1,407,0,0,0,0,0,147393,45170,100091,2131,731,17243,3504,13167,572,2870,2,10407,11274,9741,32,0,23771,8195,14611,964,12885,11850,2,0,163,25,6,19,117,15,0,0,12,1,0
45,1,3801,3065,3068,3110,1011,3047,3340,7,7,13,3,1,2,340,0,0,0,0,0,109306,88403,19792,1110,329,20764,16315,4127,322,8669,1,43245,4227,1363,17,0,33752,10893,21101,1758,13442,12450,2,0,172,0,0,0,770,17,2,0,8,2,0
46,1,3153,1419,3006,3031,3072,1036,3340,17,7,6,5,2,5,496,4,0,0,0,0,212727,1413,185244,26069,1075,34693,455,26474,7762,10279,1,22272,22111,6942,9,0,32436,7684,24210,541,16844,14775,2,0,51,106,59,47,777,17,0,0,4,1,0
47,1,3107,3190,2045,3096,3111,3751,3364,1,5,16,0,1,0,581,0,0,0,0,0,20409,10334,9717,357,0,6571,3911,2523,136,5451,5,29211,1735,1077,25,0,19742,5720,13745,276,10976,9175,0,1,26,0,0,0,101,15,0,0,14,1,0
48,1,3157,3020,3151,3027,1052,1026,3340,9,8,5,2,1,2,477,0,0,0,0,0,106663,94264,11037,1362,0,18574,16559,1665,350,3128,1,10547,5890,3922,8,0,23344,9728,12429,1186,12601,11635,2,0,129,0,0,0,292,15,0,0,7,0,0
49,0,3152,1052,3020,3089,3165,3135,3363,10,5,12,4,2,3,1036,1,0,0,0,0,165393,143992,20687,714,0,33725,30412,3210,102,2691,1,11738,6555,3882,15,0,22481,9295,11121,2064,14607,13885,3,0,242,1,1,0,1206,17,0,0,10,0,0
50,0,1037,3036,3042,3071,3047,1053,3340,3,4,9,0,1,0,872,0,0,0,0,0,105421,1042,98811,5568,0,19909,1042,18866,0,1996,1,22168,9098,1327,12,0,18891,6267,10910,1713,11544,11780,1,0,176,3,3,0,124,16,1,0,9,0,1
51,0,1400,2032,3142,3111,3071,1037,3340,7,9,10,2,1,2,520,0,0,0,0,0,113801,5457,102175,6168,0,22248,352,20145,1750,9553,1,20495,4737,271,21,0,32919,6649,25336,933,11575,12200,0,0,46,52,34,18,422,14,0,0,12,0,0
52,0,1055,3031,3085,3006,3072,3035,3340,10,10,9,5,1,2,403,0,0,0,0,0,159845,1194,157168,1482,1709,28877,947,27877,52,5993,3,12775,7862,3285,21,0,27491,11088,14905,1498,13568,12750,0,0,181,18,9,9,329,14,0,0,12,1,0
53,0,3401,2045,3047,1011,3211,3068,3364,8,7,15,2,2,2,524,1,0,0,0,0,41507,32958,5567,2981,0,17159,15311,1685,162,19003,5,31732,828,760,16,0,35282,14630,16406,4244,11326,10150,0,0,38,1,0,1,223,14,0,0,10,0,0
54,1,1055,3153,1038,3006,3046,3044,3363,8,11,7,2,2,3,312,1,0,0,0,0,162036,3164,155335,3536,486,26931,955,24565,1410,5775,3,14324,9988,4093,8,0,29623,8558,20478,586,14140,10450,2,0,238,4,4,0,142,15,0,0,7,0,0
55,1,3153,3052,3077,3053,3111,1419,3340,10,11,7,3,2,3,385,2,0,0,0,0,152770,41148,97059,14563,0,22450,9530,9752,3167,25110,1,36641,22107,192,22,0,53368,13052,39938,378,13474,12675,0,0,35,99,51,48,838,16,0,0,13,0,0
56,1,3190,3020,2301,3504,3108,3802,3340,3,5,13,2,1,1,759,0,0,0,0,0,61405,50612,9922,870,0,14445,12555,1683,207,3996,1,16233,3438,1735,47,0,17064,6295,10554,214,12530,9800,0,0,54,0,0,0,467,16,0,0,26,0,0
57,1,3143,3071,3111,3742,1054,3065,3340,7,7,7,4,3,2,573,1,1,0,0,0,164354,319,157425,6609,0,21669,161,17050,4457,8549,1,46343,6105,3803,26,0,38178,10749,26734,694,14498,13200,0,0,243,5,1,4,515,17,0,0,14,1,0
58,1,3089,3157,3027,1056,3020,0,3340,5,5,11,3,1,1,493,0,0,0,0,0,131409,113498,16507,1402,0,25069,23237,826,1006,6025,1,18076,5436,5436,13,0,28194,11584,16489,120,13493,11820,4,0,189,6,6,0,175,17,0,0,9,0,0
59,1,3072,3006,1038,3071,1042,1042,3340,5,3,9,5,2,1,950,1,0,0,0,0,106068,1730,103792,546,721,23584,538,22759,286,2079,3,6008,14409,9123,13,0,9927,4997,4929,0,11120,10350,3,2,144,5,0,5,103,13,0,0,9,1,0
60,1,1056,1052,1058,3165,3020,3157,3340,5,2,11,4,1,1,1187,0,0,0,0,0,89975,50450,14955,24569,0,15728,10887,1022,3818,3222,1,8191,6750,6750,13,0,13752,3880,9871,0,10419,9760,1,1,127,11,7,4,38,13,1,0,9,0,0
61,1,3153,3077,2003,3052,1419,3111,3340,5,3,3,4,1,1,926,0,0,0,0,0,135490,30156,90814,14519,0,7243,3377,3427,439,13553,1,12710,24247,2123,18,0,26287,5189,20965,132,10291,9675,1,1,18,84,32,52,713,13,0,0,8,2,1
62,1,3107,3401,2049,3024,0,3117,3364,0,3,12,0,0,0,674,0,0,0,0,0,21740,13172,8567,0,0,6055,4256,1799,0,2584,4,13574,3386,1362,29,0,18393,5154,12892,346,7874,7375,1,0,44,0,0,0,152,11,1,0,14,0,0
63,1,3068,1029,1054,3047,3071,3065,3340,7,1,1,7,2,1,1587,2,0,0,0,0,132516,31689,99846,980,0,16307,3644,12020,642,1833,1,19598,5972,5972,14,0,15875,3617,10789,1468,12023,10975,2,0,213,0,0,0,120,15,1,0,4,0,0
64,0,3092,3107,2049,3117,1029,1029,3364,3,3,9,0,1,0,757,0,0,0,0,0,19823,11301,5576,2945,0,8981,5984,2049,947,12871,9,6033,0,0,21,0,12964,2778,9590,596,7796,6925,0,0,8,0,0,0,258,12,1,0,11,0,0
65,0,1055,1053,3087,3111,1018,1038,3340,2,1,4,0,1,0,1319,0,0,0,0,0,156186,41576,114610,0,556,13195,1617,11578,0,7844,1,21470,0,0,5,0,32047,4128,26685,1233,9795,7200,0,0,214,13,5,8,68,15,0,0,5,0,0
66,0,2031,1408,3117,3044,1028,0,3340,0,6,5,0,0,0,539,0,0,0,0,0,68226,15938,47206,5082,0,4547,957,3589,0,4863,1,11705,0,0,24,0,23321,6870,15419,1031,7051,5400,0,0,22,43,34,9,680,12,1,0,14,1,0
67,0,1056,3165,3157,3020,3113,0,3340,2,5,2,0,1,0,611,0,0,0,0,0,118449,100865,12584,5000,0,11346,10322,1023,0,1322,3,4164,7016,7016,19,0,12491,4865,6773,851,9063,8425,1,0,174,11,11,0,243,13,1,0,10,0,0
68,0,1055,3006,3046,3031,0,0,3340,5,7,3,4,2,1,619,1,0,0,0,0,106366,21919,83454,991,490,13565,2051,11514,0,852,1,14546,1259,0,13,0,18358,5979,10906,1472,9309,7600,0,0,165,5,5,0,141,14,0,0,10,0,0
69,0,3087,3074,1419,3047,3086,0,3340,7,10,2,3,3,1,427,1,1,0,0,0,147662,9386,129855,8421,639,18520,834,14543,3143,5878,1,16134,1396,1116,14,0,27488,7513,19725,250,11355,11325,1,0,87,82,43,39,432,14,0,0,8,1,0
70,0,3157,3040,3027,1056,3020,0,3363,6,8,11,2,2,2,493,1,0,0,0,0,130794,125295,5331,168,593,22578,21880,673,24,5175,1,13865,4405,3338,9,0,21169,7457,12987,725,11552,10450,1,0,163,23,11,12,232,14,0,0,9,0,0
71,0,3031,3046,3006,1029,3044,1053,3340,6,7,5,2,2,2,527,2,0,0,0,0,98986,14710,83283,991,991,15095,1834,13260,0,0,0,15636,4396,2393,13,0,20570,6734,13234,602,10245,10325,1,0,136,10,5,5,109,13,1,0,8,0,0
72,0,1055,3153,3006,3071,1018,0,3340,6,9,7,2,1,1,408,0,0,0,0,0,67116,1480,65297,338,382,15269,411,14857,0,1597,4,10399,2484,2484,9,0,21568,6085,14017,1465,9801,8950,0,0,123,3,2,1,113,13,0,0,6,0,0
73,0,3009,2303,3110,3065,0,0,3341,3,11,18,0,1,0,229,0,0,0,0,0,21550,7815,7530,6205,0,9582,5882,3699,0,4742,5,41951,576,488,13,0,25645,7109,16525,2010,9668,8850,0,0,41,0,0,0,696,13,0,0,5,3,0
74,1,3157,3165,3027,3111,1056,3057,3340,13,4,8,5,2,3,612,1,0,0,0,0,107927,82703,22819,2405,0,19425,16375,2318,730,3892,1,13482,9906,4625,27,0,18290,4314,13306,669,13586,11375,0,1,167,8,7,1,262,15,1,0,12,1,1
75,1,3065,2033,3078,3111,3022,0,3363,6,5,16,2,2,2,566,1,0,0,0,0,108907,18863,88592,1450,0,19558,4413,14810,334,438,1,22618,7888,6167,23,0,32371,8328,22733,1310,12405,11308,4,0,150,3,0,3,231,16,1,0,7,1,0
76,1,3401,3111,3190,2045,1031,1029,3364,4,5,25,2,1,1,808,0,0,0,0,0,32365,16646,9747,5971,0,8267,4500,2904,862,2330,5,31898,2437,817,33,0,19119,6091,12741,287,10417,8725,0,0,35,0,0,0,82,14,1,0,13,0,0
77,1,3031,1053,3006,3085,3155,3087,3363,15,5,14,8,2,3,623,4,0,0,0,0,130551,9015,113690,7845,817,32805,1762,28341,2701,3585,4,9193,18136,8238,13,0,17995,4891,12547,557,14782,12900,3,0,170,2,1,1,214,16,0,0,9,0,0
78,1,3153,3052,3077,0,1419,3111,3340,7,9,7,3,2,1,348,1,0,0,0,0,99076,25132,59718,14226,0,10666,5556,4686,424,12913,1,14702,24935,1931,19,0,29726,8841,20541,344,10842,9725,0,0,46,44,19,25,523,14,0,0,8,3,0
79,0,1419,3153,3006,0,0,0,3340,1,9,6,0,1,0,714,0,0,0,0,0,69787,1511,60958,7317,514,5824,373,4378,1072,6330,1,12841,0,0,12,0,25705,6281,18401,1022,7594,7275,0,0,18,62,37,25,140,12,0,0,9,0,0
80,0,3107,3401,2049,3117,0,0,3340,0,7,8,0,0,0,391,0,0,0,0,0,17549,9811,5825,1912,0,5033,3890,980,162,1188,4,14130,0,0,13,0,21761,4981,14688,2091,6699,6870,0,0,38,0,0,0,64,11,0,0,8,0,0
81,0,3153,3006,3031,3086,0,0,3340,5,6,4,2,1,2,491,0,0,0,0,0,107769,551,105384,1834,674,12737,470,11826,440,3366,4,9129,0,0,8,0,19728,5915,13389,423,9893,9700,0,0,166,7,7,0,337,13,0,0,8,0,0
82,0,3086,3153,3071,3006,1042,1042,3340,8,5,4,6,1,1,721,0,0,0,0,0,79884,1989,76062,1832,363,14325,975,12738,612,1853,1,8023,2570,2570,14,0,18563,4325,13195,1042,10507,9950,1,0,156,1,1,0,206,14,0,0,10,1,0
83,0,3071,2033,3742,3111,1028,3082,3340,4,4,3,3,1,1,661,0,0,0,0,0,85182,5184,79997,0,0,16597,2205,14391,0,1613,1,16238,2341,2341,22,0,20578,2057,17748,772,9115,9050,1,0,152,0,0,0,57,14,2,0,13,1,0
84,1,3071,2033,3047,3742,3082,0,3340,6,7,3,3,1,1,524,0,0,0,0,0,101167,391,98358,2416,0,17690,222,15050,2416,2210,1,18328,5362,5362,14,0,23201,2693,19901,606,11249,8875,2,0,142,6,6,0,135,15,1,0,10,1,0
85,1,3153,3025,3042,3158,1055,1029,3363,3,1,12,2,1,1,1090,0,0,0,0,0,130025,20233,109791,0,0,17857,5004,12853,0,1298,1,10988,11697,5587,15,0,11836,1279,10262,294,12223,10200,2,1,209,2,0,2,262,15,0,0,6,1,0
86,1,2301,2010,3151,3020,1026,1052,3341,3,1,8,3,1,1,947,0,0,0,0,0,48167,35374,7724,5069,0,11208,9143,679,1386,1431,1,3730,5013,2165,37,0,8007,674,7169,164,10186,7910,2,0,48,1,0,1,185,14,1,0,17,2,0
87,1,1055,3094,3085,3006,3031,1036,3340,11,4,7,5,2,2,961,1,0,0,0,0,165695,1959,162221,1514,1770,28184,1247,26427,510,2116,5,7153,18938,6559,16,0,14467,1320,12524,623,13447,10775,1,1,184,8,0,8,204,15,1,0,6,0,0
88,1,3153,3077,3052,1028,1419,3111,3340,8,5,5,3,1,2,700,0,0,0,0,0,144500,36782,101620,6098,0,14378,6695,6643,1040,20032,1,18084,12082,4180,19,0,36326,4639,31087,599,12312,10075,2,1,18,99,49,50,725,15,0,0,11,1,1
89,0,1082,3165,3174,3020,3089,1026,3340,12,12,4,3,3,4,530,3,1,0,0,0,94102,84148,8910,1043,0,24068,22128,1378,561,1413,5,11051,890,568,13,0,20044,10717,9082,244,11515,11450,1,0,90,0,0,0,264,15,0,0,9,1,0
90,0,1055,3140,3153,3085,3006,1038,3363,6,7,6,2,2,2,848,1,0,0,0,0,112039,4685,107059,294,212,20252,2456,17668,126,3741,5,11609,1655,1655,9,0,23393,7411,15801,180,10740,10300,0,0,154,3,3,0,2351,14,0,0,5,1,0
91,0,3092,3117,2049,2003,3165,1029,3364,2,6,14,2,1,1,657,0,0,0,0,0,25120,20926,4186,8,0,8323,5957,2358,8,7518,3,9714,1233,852,33,0,21215,7831,13199,184,9339,7700,0,0,23,0,0,0,241,13,2,0,14,4,0
92,0,3074,3190,3047,1011,3071,1031,3340,7,6,8,3,2,1,568,1,0,0,0,0,158052,5566,150588,1898,0,18108,2890,15092,126,1613,1,40267,3376,3376,14,0,28606,9317,18061,1227,13191,11825,1,0,235,6,0,6,322,17,3,0,8,2,0
93,0,3065,3748,3711,3117,1011,1031,3340,5,8,13,3,1,1,877,0,0,0,0,0,88615,31499,51890,5226,0,13323,9439,3560,324,15396,1,37767,640,640,11,0,44047,13425,29421,1199,10533,10105,0,0,31,56,38,18,569,15,0,0,6,1,0
94,1,3401,0,3117,3082,3024,3109,3340,0,7,15,0,0,0,388,0,0,0,0,0,16278,10086,6192,0,0,6236,4926,1310,0,2737,5,23166,2041,2041,15,0,21841,9046,12484,311,8995,7550,1,0,36,0,0,0,156,14,0,0,11,1,0
95,1,2033,3146,3020,3100,3135,3191,3340,10,5,7,4,2,3,698,1,0,0,0,0,104860,77954,26906,0,524,25528,21833,3695,0,4744,1,9172,2636,2636,23,0,21357,10642,10267,448,13605,12200,0,0,190,7,1,6,60,16,2,0,14,3,1
96,1,3085,3146,3115,3047,1043,0,3364,6,7,9,2,2,2,566,1,0,0,0,0,143097,73091,68441,1563,401,26789,15395,10085,1307,5835,1,10386,7786,7786,11,0,19650,7491,11885,274,13454,11525,3,0,199,6,1,5,608,16,1,0,5,1,0
97,1,1408,2031,3742,3071,3026,3117,3364,15,4,6,4,1,5,583,0,0,0,0,0,170064,38244,118489,13329,0,22647,4490,16699,1457,9457,1,22195,13842,1365,23,0,34178,7027,27038,112,15160,12125,2,2,51,87,53,34,1070,17,2,0,13,1,0
98,1,3085,3031,3072,3026,3006,1036,3363,8,9,15,5,2,2,614,1,0,0,0,0,150444,967,149206,270,1686,35259,827,34161,270,5659,4,15079,10176,10176,6,0,25881,10747,15134,0,14325,14100,1,2,189,1,0,1,113,16,0,0,6,0,0
99,1,1055,3812,3047,3078,0,0,3340,5,4,5,3,1,1,728,0,0,0,0,0,152754,1264,149821,1668,0,24404,891,23512,0,4712,1,0,0,0,0,0,18006,3685,12543,1776,11116,9008,2,0,200,1,0,1,35,15,1,0,9,0,0
100,1,1401,2031,3111,3065,0,0,3340,7,1,7,5,1,2,1126,0,0,0,0,0,97625,33073,55500,9051,0,13645,4517,7580,1548,5167,1,0,0,0,0,0,17903,4513,13106,284,10466,6675,1,0,27,53,29,24,427,14,0,0,9,2,0
101,1,1055,3006,3153,3085,3124,1037,3340,16,5,3,13,3,2,541,4,2,0,0,0,173474,38858,131087,3528,650,40089,15095,24019,975,6588,3,0,0,0,0,0,23782,7864,15208,709,15070,12075,2,0,205,20,14,6,498,15,0,0,7,2,0
102,1,2302,3504,3117,0,3050,0,3340,1,4,20,0,1,0,391,0,0,0,0,0,8764,4754,3751,258,133,3534,2481,1052,0,5891,7,0,0,0,0,0,9709,4059,5521,128,9300,7500,2,1,4,0,0,0,74,14,0,0,7,1,0
103,1,1054,3146,3020,1033,3108,1026,3340,3,6,6,2,1,1,409,0,0,0,0,0,81386,31052,48985,1348,0,13280,8593,4388,298,5789,1,0,0,0,0,0,18327,8216,9526,584,9803,7300,3,1,118,5,1,4,392,13,0,0,10,0,0
104,0,3020,3027,2031,3157,1058,1026,3340,3,7,7,2,1,1,694,0,0,0,0,0,111586,100918,9589,1078,0,19822,17390,1354,1078,2077,1,0,0,0,0,0,20965,8237,12142,586,9844,9525,1,0,164,0,0,0,262,13,1,0,8,0,1
105,0,3153,3071,3006,1055,0,0,3340,7,8,4,2,2,2,357,1,0,0,0,0,67874,1689,66065,119,0,15987,1086,14781,119,2588,4,0,0,0,0,0,21363,6067,14664,632,9325,8200,0,0,123,1,0,1,18,12,0,0,7,0,0
106,0,3401,3107,2049,3009,3082,0,3364,4,6,7,3,1,1,769,0,0,0,0,0,20844,6951,8382,5510,0,7879,3918,3129,831,3846,7,0,0,0,0,0,21278,6838,14100,340,8074,7750,1,0,28,1,0,1,120,11,4,0,22,1,0
107,0,3074,3047,3044,3067,1055,1036,3340,3,4,3,2,1,1,737,0,0,0,0,0,106481,1443,101678,3360,0,10368,481,9886,0,4893,1,0,0,0,0,0,28563,6247,21279,1037,8657,7775,0,0,189,0,0,0,27,13,1,0,9,1,0
108,0,3153,3052,0,0,3111,1419,3340,3,7,3,0,1,0,725,0,0,0,0,0,99667,25937,64136,9594,0,10176,4004,4841,1330,12963,1,0,0,0,0,0,28531,5576,22729,226,8685,8475,1,0,32,68,47,21,417,13,0,0,8,0,0
109,0,3301,3114,2049,2055,0,1001,3341,0,1,2,0,0,0,750,0,0,0,0,0,5635,3555,2080,0,0,1497,861,636,0,1039,5,0,0,0,0,0,6011,1910,4101,0,3129,2525,0,0,6,0,0,0,57,8,1,0,5,0,0
110,0,0,3144,1043,3006,0,0,3340,2,2,0,2,2,1,679,1,0,0,0,0,33907,501,33405,0,0,7118,254,6863,0,388,2,0,0,0,0,0,5011,1336,3675,0,4559,3875,0,0,97,0,0,0,4,8,1,0,5,0,0
