id,win,item1,item2,item3,item4,item5,item6,trinket,kills,deaths,assists,largestkillingspree,largestmultikill,killingsprees,longesttimespentliving,doublekills,triplekills,quadrakills,pentakills,legendarykills,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,largestcrit,totdmgtochamp,magicdmgtochamp,physdmgtochamp,truedmgtochamp,totheal,totunitshealed,dmgselfmit,dmgtoobj,dmgtoturrets,visionscore,timecc,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,goldearned,goldspent,turretkills,inhibkills,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills,totcctimedealt,champlvl,pinksbought,wardsbought,wardsplaced,wardskilled,firstblood
373,0,1419,2003,1043,1001,1053,1036,3340,1,5,1,0,1,0,433,0,0,0,0,0,71323,18195,43639,9488,0,3144,1583,1206,354,11486,1,8939,12457,0,10,0,20663,4398,15813,451,5453,5325,0,0,9,53,43,10,370,9,0,0,7,1,0
374,1,1414,3111,1028,3025,1004,1004,3340,3,3,7,0,1,0,399,0,0,0,0,0,82555,57687,17321,7545,601,7318,6464,541,312,9462,4,5110,3379,3047,10,0,14531,4132,9699,699,7707,7225,0,0,13,55,32,23,190,11,0,0,6,0,1
375,1,2049,3401,3117,3751,1029,2055,3364,2,2,8,2,1,1,1018,0,0,0,0,0,12209,3092,5175,3941,0,3637,1909,1727,0,964,2,6963,990,990,19,0,9855,1687,6805,1362,6249,5925,0,1,24,0,0,0,60,10,3,0,13,2,0
376,1,1055,3071,3006,1051,0,3153,3340,7,1,4,7,2,1,1149,2,0,0,0,0,58629,2107,55785,736,0,10979,989,9748,242,1302,2,3607,4670,4670,6,0,8967,2064,6242,660,8584,8525,2,0,136,0,0,0,99,11,1,0,2,0,0
377,1,1055,3078,3026,3047,1036,0,3363,6,0,1,6,1,1,0,0,0,0,0,0,75847,2117,62111,11618,0,7628,1256,3765,2606,5737,1,4945,14133,5252,15,0,10151,1015,8146,989,8322,8158,1,0,136,2,0,2,279,12,1,0,8,2,0
378,1,1056,3165,3020,1058,0,0,3364,2,1,7,0,1,0,675,0,0,0,0,0,37683,27610,7255,2817,0,7080,5661,414,1005,563,1,3112,1318,1281,9,0,7678,2710,3407,1560,6277,5900,1,0,75,1,1,0,190,11,2,0,6,0,0
379,0,3146,3157,3706,3020,3113,0,3340,4,5,2,2,1,2,1035,0,0,0,0,0,122003,35007,78899,8096,0,10205,6424,3399,382,11864,1,13757,5150,1064,16,0,24496,6852,17232,411,9855,9675,1,0,65,87,52,35,485,14,1,0,10,1,0
380,0,3152,3157,3100,3020,1058,0,3340,8,6,3,5,1,2,690,0,0,0,0,0,149967,127506,22064,397,0,20592,16354,4013,224,5232,1,17757,106,106,23,0,27261,12622,13474,1164,12288,12500,0,0,241,1,1,0,349,16,2,0,13,3,0
381,0,3071,3143,0,3077,0,3111,3340,1,4,5,0,1,0,577,0,0,0,0,0,89476,3766,84810,899,0,20195,1639,17896,660,1498,1,16003,1939,1939,12,0,18115,6085,11634,396,9008,8675,1,0,153,0,0,0,312,13,1,0,7,2,0
382,0,3025,2303,1031,1029,0,3158,3341,1,4,9,0,1,0,594,0,0,0,0,0,31515,10132,13370,8011,0,5824,3387,2437,0,8212,5,20871,1965,1091,32,0,18143,7123,10602,418,7867,7350,0,0,54,0,0,0,113,12,2,0,14,3,0
383,0,1055,3031,3087,3006,1038,1018,3340,5,6,4,3,1,2,874,0,0,0,0,0,106236,12148,93108,980,607,17288,1064,16134,90,1597,4,8541,4593,2615,18,0,19339,6635,12381,322,10343,9825,0,0,169,2,2,0,129,12,1,0,11,2,0
384,1,2010,3142,3071,3036,1053,0,3340,2,5,5,0,1,0,611,0,0,0,0,0,100753,4086,96666,0,935,17401,2606,14795,0,2342,2,6327,8122,6157,11,0,16503,7149,9353,0,11485,10350,4,0,158,2,2,0,90,14,0,0,9,0,0
385,1,3222,3069,2049,3116,3158,0,3363,2,6,10,0,1,0,418,0,0,0,0,0,26847,17688,9158,0,0,7610,6163,1446,0,18000,5,8204,1048,192,25,0,14108,4810,8918,380,10708,9100,0,0,23,2,0,2,445,14,2,0,15,1,0
386,1,3153,1011,3053,3091,3111,1419,3340,15,5,4,5,3,4,474,4,1,0,0,0,180449,52188,120958,7303,0,25562,11081,12522,1957,19551,1,27149,10038,224,32,0,39746,9861,29354,530,15578,13550,0,0,65,91,44,47,1081,17,1,0,14,8,1
387,1,1056,3165,3116,3158,1026,1058,3340,4,2,8,3,1,1,1098,0,0,0,0,0,118586,89678,27500,1408,0,19991,16995,2241,754,1078,1,7925,8124,1102,28,0,12759,4898,7733,128,11469,9350,0,0,162,1,0,1,1057,16,2,0,14,1,0
388,1,3153,0,3044,3031,3087,3006,3363,2,2,2,0,1,0,758,0,0,0,0,0,246302,54770,191532,0,901,9931,974,8957,0,9873,1,15566,29874,17895,15,0,25557,6422,18816,318,14597,12450,7,1,283,12,1,11,83,17,0,0,9,0,0
389,1,2033,3146,3111,3057,3124,3052,3340,8,5,10,2,2,3,894,2,0,0,0,0,145446,42669,101098,1678,0,18849,6272,12290,286,5734,1,16985,7043,3052,13,0,20751,8339,11816,596,14045,10850,2,1,203,16,6,10,114,16,0,0,8,1,0
390,1,3085,3508,3006,3072,0,0,3340,6,9,13,2,1,1,321,0,0,0,0,0,102191,0,101643,548,589,22274,0,22064,210,2668,3,5680,4066,3947,11,0,15255,7994,6747,513,12021,11450,3,0,152,2,1,1,93,14,0,0,8,0,1
391,1,3401,3190,3107,2049,3117,0,3364,5,4,21,3,2,2,773,1,0,0,0,0,34669,21932,10764,1972,0,12118,8461,2934,722,3941,7,26749,2228,2228,51,0,20143,11691,7941,510,10986,8350,0,0,53,0,0,0,185,14,0,0,22,4,0
392,1,3153,1043,1057,3053,3111,1419,3340,13,6,5,3,3,5,447,1,1,0,0,0,134722,33180,93146,8394,0,14280,6212,7236,830,13374,1,16496,23102,2160,16,0,28663,8296,19523,844,13677,11595,1,2,58,69,36,33,633,15,0,0,11,0,0
393,1,3020,3089,3165,3285,0,0,3340,5,8,9,2,1,1,378,0,0,0,0,0,102880,89795,11989,1095,0,14912,12931,1264,716,1449,1,6346,6230,6230,5,0,15108,8216,6293,598,11600,11860,2,0,134,4,4,0,301,14,0,0,4,0,0
394,0,3157,3020,3102,3285,3135,0,3340,17,10,7,4,3,5,390,3,1,0,0,0,161408,150372,10083,952,0,22441,20736,934,770,1278,1,15727,2461,1909,9,0,20695,6793,13223,679,14570,12850,0,0,197,0,0,0,12,16,0,0,7,0,0
395,0,3092,3100,2049,3020,1058,1052,3364,5,5,19,2,1,2,689,0,0,0,0,0,36673,27241,8319,1113,0,14766,10316,3648,801,7053,5,5065,2440,776,30,0,12289,6261,5806,221,9713,9510,1,0,35,0,0,0,62,13,1,0,17,2,0
396,0,3142,1055,3009,3508,1038,1042,3340,5,9,14,3,1,1,376,0,0,0,0,0,80002,711,79291,0,884,15007,209,14798,0,2633,3,7593,11213,3158,8,0,17082,5456,11381,244,10111,9300,0,0,89,3,2,1,103,13,0,0,6,1,0
397,0,1054,3068,3111,3065,1028,1033,3340,3,6,17,2,1,1,694,0,0,0,0,0,67090,41090,26000,0,0,10308,4817,5491,0,1477,1,45697,6842,2940,11,0,26865,8145,17795,924,9224,8250,1,0,110,0,0,0,240,14,0,0,10,0,0
398,0,3193,1401,3117,3083,0,0,3364,2,7,18,0,1,0,433,0,0,0,0,0,109274,72230,29323,7720,0,11648,7043,3114,1490,3529,1,52588,4469,276,10,0,27836,8599,18541,695,9771,9025,0,0,67,60,44,16,1023,14,0,0,5,1,0
399,0,1056,3165,1001,3191,3108,0,3340,3,7,3,0,1,0,328,0,0,0,0,0,47265,38267,8660,337,0,10279,9141,800,337,280,1,3925,0,0,6,0,10582,5375,4130,1076,6093,5800,0,0,94,1,1,0,257,12,0,0,5,0,0
400,0,3009,3068,3067,1028,1036,0,3340,2,5,0,0,1,0,566,0,0,0,0,0,54481,12790,41284,407,0,7754,1751,5596,407,507,1,14062,0,0,11,0,16120,7111,7573,1434,5643,5550,0,0,105,1,0,1,65,11,0,0,8,0,0
401,0,1055,2003,0,0,0,0,3340,0,1,0,0,0,0,195,0,0,0,0,0,2155,0,2155,0,73,336,0,336,0,0,0,256,0,0,1,0,778,421,357,0,3253,500,0,0,8,0,0,0,58,2,0,0,1,0,0
402,0,3144,2003,1042,1042,3111,1419,3340,4,7,0,0,1,0,335,0,0,0,0,0,63672,16967,40044,6660,0,8035,3667,3306,1062,7699,1,8780,3124,0,8,0,19530,2919,15256,1354,6435,5975,0,0,49,45,20,25,594,11,0,0,7,0,1
403,0,3401,2010,3751,0,0,0,3340,0,2,0,0,0,0,301,0,0,0,0,0,4790,3093,1316,380,0,565,378,186,0,307,4,1923,0,0,5,0,3791,1960,1726,104,3560,3450,0,0,11,0,0,0,38,6,0,0,4,0,0
404,1,3706,3748,3158,3067,0,0,3340,3,4,3,0,1,0,228,0,0,0,0,0,95060,32260,45341,17459,0,2417,659,1194,563,8697,1,11820,10935,0,7,0,19694,4457,15152,84,7677,6200,0,0,9,81,38,43,353,11,0,0,5,0,0
